Code,Name,Description,NameSort,Logo,SourceLastEdition,SourceISSN,SourceCountry,Language,SourceArchivedSince,SourceFinArchive,SourceDomaine,SourceFrequency,PreviousEdition
UK_P,01 net,"Créé en 1998, 01 net s'adresse à un large public. Son langage est simple et vulgarisateur. Il simplifie les nouvelles technologies et les rend accessibles à tous grâce à une approche pédagogique, consumériste et ludique.",01 net,uk3_small.gif,2024-11-20T00:00:00,2266-7989,France,,2013-03-07T00:00:00,,Informatique et télécommunication,Mensuel ou bimensuel,2024-11-06T00:00:00
UKA_P,01 net - Hors-série,Il s'agit d'un supplément au magazine 01 net. Ce bimestriel est la publication concernant toutes les nouvelles technologies actuelles et comment les utiliser à leur plein potentiel.,01 net - Hors-série,uka2_small.gif,2024-10-31T00:00:00,2268-1280,France,,2014-04-01T00:00:00,,Informatique et télécommunication,Bimestriel ou trimestriel,2024-09-06T00:00:00
UAE_P,"100 Mile House Free Press (South Cariboo, BC)","100 Mile House Free Press dessert la population et les communautés de South Cariboo depuis 1968. Il couvre la région limitée par Lac la Hache au nord et Clinton au sud, et Lac des Roches à l'est.","100 Mile House Free Press (South Cariboo, BC)",uae_small.gif,2024-11-28T00:00:00,,Canada,,2019-08-22T00:00:00,,Généraliste,Hebdomadaire,2024-11-21T00:00:00
QAA_P,"Les 2 Rives (Sorel-Tracy, QC)","Hebdomadaire desservant la région de Sorel-Tracy au Québec. Exact reflet de la collectivité qu'il sert, Les 2 Rives constitue la meilleure et parfois la seule source de nouvelles locales.","2 Rives, Les (Sorel-Tracy, QC)",qaa2_small.gif,2024-11-19T00:00:00,,Canada,,2014-06-03T00:00:00,,Généraliste,Hebdomadaire,2024-11-12T00:00:00
VIM_P,20 Minutes,"20 minutes est un journal gratuit créé en 1999 et publié dans plusieurs pays européens. Il couvre l'actualité et les nouvelles de dernière heure, la société, la politique, l'économie, l'environnement, la culture, le sport, le divertissement, les célébrités, les sports, la technologie et le multimédia.",20 Minutes,,2024-08-09T00:00:00,,France,,2020-12-16T00:00:00,2024-08-09T00:00:00,Généraliste,Bihebdomadaire ou trihebdomadaire,2024-08-02T00:00:00
WV_P,24 Heures (Suisse),"Le quotidien vaudois 24 heures propose quatre éditions spécifiques aux quatre grandes régions du canton de Vaud: Edition Riviera/Chablais, Edition Nord vaudois/Broye, Edition région la Côte, et Edition Lausanne et région. Le premier cahier est dédié à la Suisse, à l'économie, au monde, à la culture. Ce cahier présente également une page divertissement intitulée ""Planète"" et une rubrique sportive régionale. Le second cahier est largement réalisé par les rédactions régionales: cinq à six pages d'informations locales et une page reprenant les principales nouvelles des autres régions, suivies de deux à trois pages d'intérêt général: politique cantonale, actualités lausannoises et vaudoises importantes, faits divers, reportages, société, etc. Quant à la partie ""Services"", elle ferme la marche avec ses rubriques TV, météo, agenda et les conseils pratiques.",24 Heures (Suisse),wv2_small.gif,2024-11-30T00:00:00,1662-7644,Suisse,,2007-06-12T00:00:00,,Généraliste,Quotidien,2024-11-29T00:00:00
AN_P,Acadie Nouvelle,"L'Acadie Nouvelle est publiée à Caraquet, dans la péninsule Acadienne. ""Le quotidien des francophones du Nouveau-Brunswick"" est publié à 36,204 exemplaires (2014), du lundi au samedi. À partir de juillet 2022, l'édition du lundi sera disponible seulement en version numérique. Il s'agit du seul quotidien de langue française à l'est du Québec.",Acadie Nouvelle,an4_small.gif,2024-11-30T00:00:00,0829-1667,Canada,,2006-01-06T00:00:00,,Généraliste,Quotidien,2024-11-29T00:00:00
VAC_P,Acta Endoscopica,"Revue officielle de la Société française d’endoscopie digestive (SFED). Axée sur la formation, la revue propose des dossiers thématiques, des articles originaux sur le matériel, les équipements et les examens ainsi que des textes décrivant des cas cliniques, destinés à améliorer la pratique et enrichir les connaissances des professionnels liés à l’endoscopie digestive.",Acta Endoscopica,vac_small.gif,2017-10-01T00:00:00,0240-642X,France,,2015-02-01T00:00:00,2017-10-01T00:00:00,Santé,Bimestriel ou trimestriel,2017-07-01T00:00:00
EAC_P,Action Co,"Action Commerciale est un magazine destine au dirigeants de PME, directeurs commerciaux, directeurs des ventes et gestionnaire d’équipes. Avec une approche pratique et opérationnelle, le magazine aborde l’actualité commerciale, analyse les stratégies gagnantes, offre des conseils pratiques et propose des études de problématiques et enjeux commerciaux fréquents.",Action Co,eac_small.gif,2024-09-18T00:00:00,0752-5192,France,,2016-04-01T00:00:00,,"Marketing, médias, communication",Bimestriel ou trimestriel,2024-06-25T00:00:00
JS_P,"L'Action D'Autray (Berthierville, QC)","Hebdomadaire desservant la M.R.C. D'Autray dans Lanaudière. Exact reflet de la collectivité qu'il sert, L'Action d'Autray (anciennement L'Écho d'Autray) constitue la meilleure et parfois la seule source de nouvelles locales.","Action D'Autray, L' (Berthierville, QC)",js2_small.gif,2024-11-20T00:00:00,,Canada,,2006-08-13T00:00:00,,Généraliste,Hebdomadaire,2024-11-13T00:00:00
